Container ID, Experiment (i), Start Time (ns),Finish Time (ns),Duration (ns)
Usage: python3 memory_test.py <experiment_name> <run_number>,,1744801452118458419,1744801460735573527,8617115108
Usage: python3 memory_test.py <experiment_name> <run_number>,,1744801460754820253,1744801463514297261,2759477008
Usage: python3 memory_test.py <experiment_name> <run_number>,,1744801463519488607,1744801465919534243,2400045636
Usage: python3 memory_test.py <experiment_name> <run_number>,,1744801465934478630,1744801468255100167,2320621537
Usage: python3 memory_test.py <experiment_name> <run_number>,,1744801468260701331,1744801470550680342,2289979011
Usage: python3 memory_test.py <experiment_name> <run_number>,,1744801470557281912,1744801472883595288,2326313376
Usage: python3 memory_test.py <experiment_name> <run_number>,,1744801472893170266,1744801475181921914,2288751648
Usage: python3 memory_test.py <experiment_name> <run_number>,,1744801475187256531,1744801477493520275,2306263744
Usage: python3 memory_test.py <experiment_name> <run_number>,,1744801477498813591,1744801479764872919,2266059328
Usage: python3 memory_test.py <experiment_name> <run_number>,,1744801479770012443,1744801482064021293,2294008850
Usage: python3 memory_test.py <experiment_name> <run_number>,,1744801482074168005,1744801484569408965,2495240960
Usage: python3 memory_test.py <experiment_name> <run_number>,,1744801484587137913,1744801487261010132,2673872219
Usage: python3 memory_test.py <experiment_name> <run_number>,,1744801487266536245,1744801489596617030,2330080785
Usage: python3 memory_test.py <experiment_name> <run_number>,,1744801489601990445,1744801491888940241,2286949796
Usage: python3 memory_test.py <experiment_name> <run_number>,,1744801491894006331,1744801494217500268,2323493937
Usage: python3 memory_test.py <experiment_name> <run_number>,,1744801494228048515,1744801496553084406,2325035891
Usage: python3 memory_test.py <experiment_name> <run_number>,,1744801496559636601,1744801498806654318,2247017717
Usage: python3 memory_test.py <experiment_name> <run_number>,,1744801498811821286,1744801501049007927,2237186641
Usage: python3 memory_test.py <experiment_name> <run_number>,,1744801501054319418,1744801503413510791,2359191373
Usage: python3 memory_test.py <experiment_name> <run_number>,,1744801503418892330,1744801505680905543,2262013213
Usage: python3 memory_test.py <experiment_name> <run_number>,,1744801505686253176,1744801507974126050,2287872874
Usage: python3 memory_test.py <experiment_name> <run_number>,,1744801507983150016,1744801510461864962,2478714946
Usage: python3 memory_test.py <experiment_name> <run_number>,,1744801510466945164,1744801512800832392,2333887228
Usage: python3 memory_test.py <experiment_name> <run_number>,,1744801512806789779,1744801515064391460,2257601681
Usage: python3 memory_test.py <experiment_name> <run_number>,,1744801515069657223,1744801517368436457,2298779234
Usage: python3 memory_test.py <experiment_name> <run_number>,,1744801517374169118,1744801519645383295,2271214177
Usage: python3 memory_test.py <experiment_name> <run_number>,,1744801519650902844,1744801521935602983,2284700139
Usage: python3 memory_test.py <experiment_name> <run_number>,,1744801521941049724,1744801524275735193,2334685469
Usage: python3 memory_test.py <experiment_name> <run_number>,,1744801524285723940,1744801526538154151,2252430211
Usage: python3 memory_test.py <experiment_name> <run_number>,,1744801526544535885,1744801528970780304,2426244419
Usage: python3 memory_test.py <experiment_name> <run_number>,,1744801528975739784,1744801531304480321,2328740537
Usage: python3 memory_test.py <experiment_name> <run_number>,,1744801531309943831,1744801533597171347,2287227516
Usage: python3 memory_test.py <experiment_name> <run_number>,,1744801533602653085,1744801535883294758,2280641673
Usage: python3 memory_test.py <experiment_name> <run_number>,,1744801535888702438,1744801538158329953,2269627515
Usage: python3 memory_test.py <experiment_name> <run_number>,,1744801538163756329,1744801540458214981,2294458652
Usage: python3 memory_test.py <experiment_name> <run_number>,,1744801540463447359,1744801542767666691,2304219332
Usage: python3 memory_test.py <experiment_name> <run_number>,,1744801542776984489,1744801545103727550,2326743061
Usage: python3 memory_test.py <experiment_name> <run_number>,,1744801545109038257,1744801547442090027,2333051770
Usage: python3 memory_test.py <experiment_name> <run_number>,,1744801547447187570,1744801549748272711,2301085141
Usage: python3 memory_test.py <experiment_name> <run_number>,,1744801549753679453,1744801552095830538,2342151085
Usage: python3 memory_test.py <experiment_name> <run_number>,,1744801552100926987,1744801554362995265,2262068278
Usage: python3 memory_test.py <experiment_name> <run_number>,,1744801554368339302,1744801556633575768,2265236466
Usage: python3 memory_test.py <experiment_name> <run_number>,,1744801556639205621,1744801558971037460,2331831839
Usage: python3 memory_test.py <experiment_name> <run_number>,,1744801558976181093,1744801561266794810,2290613717
Usage: python3 memory_test.py <experiment_name> <run_number>,,1744801561272995720,1744801563587127275,2314131555
Usage: python3 memory_test.py <experiment_name> <run_number>,,1744801563598975587,1744801566145764496,2546788909
Usage: python3 memory_test.py <experiment_name> <run_number>,,1744801566150670904,1744801568465007811,2314336907
Usage: python3 memory_test.py <experiment_name> <run_number>,,1744801568471541929,1744801570767743949,2296202020
Usage: python3 memory_test.py <experiment_name> <run_number>,,1744801570773369999,1744801573102948504,2329578505
Usage: python3 memory_test.py <experiment_name> <run_number>,,1744801573108609968,1744801575603398106,2494788138
Usage: python3 memory_test.py <experiment_name> <run_number>,,1744801575625572586,1744801578265459125,2639886539
Usage: python3 memory_test.py <experiment_name> <run_number>,,1744801578270449850,1744801580587197668,2316747818
Usage: python3 memory_test.py <experiment_name> <run_number>,,1744801580592639510,1744801582860345086,2267705576
Usage: python3 memory_test.py <experiment_name> <run_number>,,1744801582865593451,1744801585146329096,2280735645
Usage: python3 memory_test.py <experiment_name> <run_number>,,1744801585151481373,1744801587444306105,2292824732
Usage: python3 memory_test.py <experiment_name> <run_number>,0,1744802387400582001,1744802393668299847,6267717846
Usage: python3 memory_test.py <experiment_name> <run_number>,1,1744802393690368181,1744802396369125479,2678757298
Usage: python3 memory_test.py <experiment_name> <run_number>,1,1744802396376124190,1744802398774689368,2398565178
Usage: python3 memory_test.py <experiment_name> <run_number>,2,1744802398784416511,1744802401190738662,2406322151
Usage: python3 memory_test.py <experiment_name> <run_number>,2,1744802401196065784,1744802403590215188,2394149404
Usage: python3 memory_test.py <experiment_name> <run_number>,2,1744802403595415330,1744802405906111663,2310696333
Usage: python3 memory_test.py <experiment_name> <run_number>,3,1744802405915512347,1744802408211090684,2295578337
Usage: python3 memory_test.py <experiment_name> <run_number>,3,1744802408216326349,1744802410536578362,2320252013
Usage: python3 memory_test.py <experiment_name> <run_number>,3,1744802410542233149,1744802413060276755,2518043606
Usage: python3 memory_test.py <experiment_name> <run_number>,3,1744802413066219517,1744802415392889297,2326669780
Usage: python3 memory_test.py <experiment_name> <run_number>,4,1744802415404537267,1744802417761156541,2356619274
Usage: python3 memory_test.py <experiment_name> <run_number>,4,1744802417766295436,1744802420075250825,2308955389
Usage: python3 memory_test.py <experiment_name> <run_number>,4,1744802420081081608,1744802422397684266,2316602658
Usage: python3 memory_test.py <experiment_name> <run_number>,4,1744802422402888633,1744802424737086019,2334197386
Usage: python3 memory_test.py <experiment_name> <run_number>,4,1744802424742292781,1744802427045087636,2302794855
Usage: python3 memory_test.py <experiment_name> <run_number>,5,1744802427055122197,1744802429393284982,2338162785
Usage: python3 memory_test.py <experiment_name> <run_number>,5,1744802429398684198,1744802431691604639,2292920441
Usage: python3 memory_test.py <experiment_name> <run_number>,5,1744802431696911770,1744802433996089574,2299177804
Usage: python3 memory_test.py <experiment_name> <run_number>,5,1744802434001347850,1744802436301963508,2300615658
Usage: python3 memory_test.py <experiment_name> <run_number>,5,1744802436307192879,1744802438715595492,2408402613
Usage: python3 memory_test.py <experiment_name> <run_number>,5,1744802438722662138,1744802441026566816,2303904678
Usage: python3 memory_test.py <experiment_name> <run_number>,6,1744802441037615883,1744802443347251611,2309635728
Usage: python3 memory_test.py <experiment_name> <run_number>,6,1744802443352606663,1744802445631074996,2278468333
Usage: python3 memory_test.py <experiment_name> <run_number>,6,1744802445636767503,1744802447895518601,2258751098
Usage: python3 memory_test.py <experiment_name> <run_number>,6,1744802447900722453,1744802450205067131,2304344678
Usage: python3 memory_test.py <experiment_name> <run_number>,6,1744802450210686408,1744802452531915301,2321228893
Usage: python3 memory_test.py <experiment_name> <run_number>,6,1744802452536929203,1744802454820871646,2283942443
Usage: python3 memory_test.py <experiment_name> <run_number>,6,1744802454826468215,1744802457181095108,2354626893
Usage: python3 memory_test.py <experiment_name> <run_number>,7,1744802457191057859,1744802459478863488,2287805629
Usage: python3 memory_test.py <experiment_name> <run_number>,7,1744802459483910256,1744802461721007730,2237097474
Usage: python3 memory_test.py <experiment_name> <run_number>,7,1744802461726172574,1744802464042069657,2315897083
Usage: python3 memory_test.py <experiment_name> <run_number>,7,1744802464047546330,1744802466386736711,2339190381
Usage: python3 memory_test.py <experiment_name> <run_number>,7,1744802466391929838,1744802468891948245,2500018407
Usage: python3 memory_test.py <experiment_name> <run_number>,7,1744802468905797487,1744802471331152625,2425355138
Usage: python3 memory_test.py <experiment_name> <run_number>,7,1744802471336221792,1744802473628397942,2292176150
Usage: python3 memory_test.py <experiment_name> <run_number>,7,1744802473633719927,1744802475887526410,2253806483
Usage: python3 memory_test.py <experiment_name> <run_number>,8,1744802475898752267,1744802478211994028,2313241761
Usage: python3 memory_test.py <experiment_name> <run_number>,8,1744802478217373880,1744802480491930179,2274556299
Usage: python3 memory_test.py <experiment_name> <run_number>,8,1744802480497153465,1744802482785932376,2288778911
Usage: python3 memory_test.py <experiment_name> <run_number>,8,1744802482791054723,1744802485099823399,2308768676
Usage: python3 memory_test.py <experiment_name> <run_number>,8,1744802485104681887,1744802487370053997,2265372110
Usage: python3 memory_test.py <experiment_name> <run_number>,8,1744802487375080873,1744802489663174725,2288093852
Usage: python3 memory_test.py <experiment_name> <run_number>,8,1744802489668275823,1744802491980844580,2312568757
Usage: python3 memory_test.py <experiment_name> <run_number>,8,1744802491986370010,1744802494311686299,2325316289
Usage: python3 memory_test.py <experiment_name> <run_number>,8,1744802494316938130,1744802496641324253,2324386123
Usage: python3 memory_test.py <experiment_name> <run_number>,9,1744802496651028366,1744802498951583255,2300554889
Usage: python3 memory_test.py <experiment_name> <run_number>,9,1744802498957101030,1744802501300839513,2343738483
Usage: python3 memory_test.py <experiment_name> <run_number>,9,1744802501306336299,1744802503572020964,2265684665
Usage: python3 memory_test.py <experiment_name> <run_number>,9,1744802503577010447,1744802505960743078,2383732631
Usage: python3 memory_test.py <experiment_name> <run_number>,9,1744802505966050328,1744802508247720334,2281670006
Usage: python3 memory_test.py <experiment_name> <run_number>,9,1744802508253780361,1744802510506894264,2253113903
Usage: python3 memory_test.py <experiment_name> <run_number>,9,1744802510512146826,1744802512870688796,2358541970
Usage: python3 memory_test.py <experiment_name> <run_number>,9,1744802512876217615,1744802515151276136,2275058521
Usage: python3 memory_test.py <experiment_name> <run_number>,9,1744802515156374112,1744802517442396659,2286022547
Usage: python3 memory_test.py <experiment_name> <run_number>,9,1744802517447433228,1744802519714189755,2266756527
